,urname,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
0,멘탈화기,,,,,,,,,,,,,
0,뮤라비,,,,,,,,,,,,,
0,호나우두:,근원을 삼킨 핸드캐넌,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,크리는크크리,,,,,,,,,,,,,
0,케초글링....,근원을 삼킨 광검,리버시블 레더 코트,매니퓰레이션,로보티카 컴뱃 팬츠,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,근원을 삼킨 광검,흑룡 : 끝없는 암흑의 굴레
0,꾸르르렁,결전의 선현궁 - 뮤즈,고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,내면의 얼굴,언비튼 메달,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,J.castle에반,결전의 십자가 - 크루세이더(여),흙으로 빚은 자연,피어나는 자연의 삶,깨지지 않는 빛바랜 신념,순환하는 자연의 섭리,순수한 자연의 이치,퍼스트 스페이드 - 노블레스,무뎌지는 둔화된 변화,어댑터블 투톤 링,정의의 기사 가면,완성형 동력 제어장치,폭발형 : 소형 전술 플레어,
0,T블레이드R,,,,,,,,,,,,,
0,지기장지기직,결전의 선현궁 - 뮤즈,고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,골렘의 핵 팔찌,어댑터블 투톤 링,굴착 강화 파츠,어둠을 먹는 심장,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,아롱이마도,근원을 삼킨 빗자루,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,어댑터블 투톤 링,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
